Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Kenya,8572359163,8151479004,8209129172,5751789915,7148145376,9046326060,12045858436,13115773738,14093998844,12896013577,12705357103,12986007426,13147743911,14904517650,16095337094,18737897745,25825524821,31958195182,35895153328,37021512049,40000088347,41953433591,50412754861,55096728048,61448046802,64007750169,69188755364,78965004656,87778582964,
Kiribati,39809539,47515189,47737955,46919625,54832578,56338028,66515377,67537480,65334841,69032258,67254174,63101272,72196458,90231857,102367039,112133944,110234940,132671743,141042610,132420059,156120895,181705003,190243322,185113922,179703443,171117872,178328873,187276211,196737896,
Kuwait,18427777778,11008793176,19858555215,23941391391,24848483838,27191353887,31493319973,30355093966,25939960630,30123850197,37712842243,34887512227,38137545245,47876510067,59439090601,80798630137,1.01549E+11,1.1464E+11,1.47395E+11,1.05963E+11,1.15419E+11,1.54068E+11,1.7407E+11,1.74161E+11,1.62631E+11,1.14567E+11,1.0942E+11,1.20707E+11,1.40645E+11,
Kyrgyzstan,2675000000,2569444444,2316562500,2028295455,1681006993,1661018519,1827570586,1767864036,1645963750,1249061487,1369688498,1525116370,1605643105,1919008090,2211534585,2460248026,2834168889,3802566171,5139957785,4690062255,4794357795,6197766119,6605139933,7335027592,7468096567,6678178340,6813092066,7702934800,8271108638,
Laos,865559856,1028087972,1127806945,1327748655,1543606345,1763536305,1873671550,1747011857,1280177839,1454430642,1731198022,1768619058,1758176653,2023324407,2366398120,2735558726,3452882514,4222962988,5443915121,5832915387,7127792630,8749241114,10191350120,11942230508,13268458232,14390442307,15805692546,16853087485,17953786416,
Latvia,,,,,,5785775813,5969114344,6521609001,7159169546,7525408359,7949253766,8351415939,9545172806,11749456401,14401882399,16959313006,21517445448,31004884421,35756225698,26317286628,23877564356,28619991392,28330632929,30432796306,31329367173,27239653844,28052325862,30458763246,34416012859,
Lebanon,2838485354,4690415093,5843579161,7941744492,9599127050,11718795528,13690217333,15751867489,17247179006,17391056369,17260364842,17649751244,19152238806,20082918740,21159827992,21497336499,22022709852,24827355015,29118916106,35399582929,38443907042,39927125961,44035991746,46909335135,48134486625,49939374833,51205122504,53140638269,54961275742,
Lesotho,596415105,704329193,831033941,835592802,878250451,1001889857,946123276,997996029,928458206,912771291,887295268,825706961,775780698,1157832935,1511236656,1682350935,1800105590,1716262753,1758534995,1773199523,2269525779,2622336148,2526185314,2421470018,2499803984,2372280103,2165408359,2405289384,2575892262,
Liberia,,,,,,,,,,,874000000,906000000,927000000,748000000,897000000,949000000,1119000000,1373000000,1726000000,1768000000,1998000000,2398000000,2721000000,3067000000,3144000000,3177000000,3277826000,3285455000,3264000000,
Libya,28901836158,31995012469,33881392045,30657030223,28607921929,25544128199,27884615385,30698633109,27249786142,35976714101,38270206950,34110064452,20481889764,26265625000,33122307692,47334148578,54961936663,67516236338,87140405361,63028320702,74773444901,34699395524,81873662519,65502870174,41142722414,27842131480,26197143268,37883243650,52607888718,
Liechtenstein,1421466240,1484152022,1631197909,1673104494,1948118228,2428461395,2504033252,2298410391,2479721341,2664026095,2483953103,2491822707,2688630823,3070691320,3454362686,3659251526,4000239273,4601299567,5081432924,4504549214,5082366478,5739977477,5456009385,6391735894,6657170923,6268391521,6237264055,6552858739,6876981286,
Lithuania,,,,,,7867140395,8382519637,10118631852,11239547691,10971583945,11524776867,12237388002,14259781159,18781721376,22627507452,26097677572,30183575104,39697891352,47797551588,37388122046,37138464733,43582248870,42943442158,46514471182,48574531942,41418872976,43018087238,47758736932,53722883091,
Luxembourg,13229247948,14321878323,16065740276,16486900653,18325790933,21588170498,21776609772,19731912494,20209122027,22235929043,21263514833,21272418792,23616328816,29557325056,34685281848,37347394603,42414308117,50888134410,55849686539,51370543206,53212476812,60004630234,56677961787,61739352212,66103853237,57744457955,60691483443,64181944723,70919958016,
Madagascar,3931334871,3254713056,3714967007,4063298919,3522226903,3838101052,4931861239,4262965282,4401967499,4277903780,4629247091,5438332738,5351701534,6372498720,5064732716,5859269849,6395712392,8524620739,10725137478,9616879921,9982711030,11551821062,11578978053,12423557907,12522959157,11323023787,11848615018,13176313233,13853433948,
Malawi,1880771556,2203545857,1799517082,2070636936,1181802596,1397457932,2281034131,2663234934,1750584265,1775921718,1743506531,1716502862,3495748398,3208837077,3476094499,3655909664,3998020177,4432937046,5321012192,6191127665,6959655571,8004000737,6028487929,5518880769,6047813437,6373212641,5433040160,6303292264,6917301909,
Malaysia,44024178343,49143148094,59167550163,66894837030,74478356958,88705342903,1.00855E+11,1.00005E+11,72167498981,79148421053,93789736842,92783947368,1.00846E+11,1.10202E+11,1.24749E+11,1.43534E+11,1.62691E+11,1.93548E+11,2.30814E+11,2.02258E+11,2.55017E+11,2.97952E+11,3.14443E+11,3.23277E+11,3.38062E+11,3.01355E+11,3.01255E+11,3.19112E+11,3.58715E+11,
Maldives,215089005,244468293,284853359,322326642,355884383,398988955,450382328,508223602,540096398,589239754,624337145,870179739,897031250,1052121055,1226829563,1163362438,1575200391,1868383461,2271646188,2345294875,2588176055,2774351760,2886170572,3295011382,3697351594,4109447297,4379115588,4754352301,5299773145,
Mali,2681912030,2724131545,2830673389,2818280876,2081846483,2706425298,2780422212,2697105694,2920358587,3439463140,2954129566,3465305993,3889758024,4703504467,5444474268,6247496491,6905876385,8145694632,9798741074,10190945007,10689167195,12995074801,12441946098,13242680705,14364859446,13104802016,14025944550,15365627045,17070758732,
Malta,2547163582,2750041434,3021910217,2709178327,2998570147,3720400496,3822882839,3793418472,4010571271,4121350759,4069515557,4088368962,4470446352,5448415540,6098092512,6416184236,6778324087,7925371459,9090406750,8696366869,9035932178,9638916472,9462238257,10551661220,11626281450,11091434435,11665231192,13146963159,14750790658,
Marshall Islands,78476000,82507000,91063000,99461000,108071000,120230000,110858000,110705600,112279400,114326300,115347500,122824000,131738200,131398500,133806400,141922500,145474100,153884600,153135800,151772600,162164700,174332100,182874800,187707400,184689500,184599600,200558400,212881000,221278000,
Mauritania,1506914408,2133693478,2164292208,1847350612,1944876755,2091731421,2132081882,2072001067,2032345832,1985924387,1779521110,1746064719,1777058593,2051147607,2362501023,2936019526,4008583968,4328063511,5138471610,4725200358,5628882266,6764635687,6728208836,7223063170,6592537782,6166857629,6398744505,6758390729,7049169771,
Mauritius,2653480001,2856890681,3224267548,3263368410,3558137040,4040345933,4421943910,4187367602,4169664285,4343710333,4663313620,4613630623,4841310240,5816553827,6578844486,6488750453,7028803366,8150138757,9990370016,9128843109,10003670690,11518393367,11668685524,12129642296,12803445934,11692287066,12232463656,13259351418,14181951059,
Mexico,2.61254E+11,3.13143E+11,3.63158E+11,5.00736E+11,5.27813E+11,3.60074E+11,4.10976E+11,5.00413E+11,5.26502E+11,6.00233E+11,7.07907E+11,7.56706E+11,7.72106E+11,7.29336E+11,7.82241E+11,8.77476E+11,9.75387E+11,1.0527E+12,1.10999E+12,9.00045E+11,1.0578E+12,1.18049E+12,1.20109E+12,1.27444E+12,1.31535E+12,1.17187E+12,1.07849E+12,1.15891E+12,1.22235E+12,
Micronesia,147200000,166200000,178100000,198400000,202500000,221575300,218534700,206626300,218873100,220140500,233271800,240970900,242517200,245432900,240236000,250281900,253541900,256787200,263145100,280284600,296944100,311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,
Montenegro,,,,,,,,,,,984297589,1159869246,1284685051,1707710053,2073234418,2257174481,2721903149,3680711744,4545674528,4159330370,4142931813,4544575152,4087561650,4464502434,4587741791,4053097851,4373958354,4844606146,5504255214,
Morocco,30180108562,32285388165,33711069431,31655473664,35604137423,39030285468,43161452678,39147844526,41806219379,41632027600,38857251336,39459581217,42236836821,52064058834,59626020162,62343022651,68640825481,79041294874,92507257784,92897320376,93216746662,1.0137E+11,98266306615,1.06826E+11,1.10081E+11,1.0118E+11,1.03312E+11,1.09683E+11,1.18096E+11,
Mozambique,,3633406065,2588625093,2676425527,2742148399,2843489765,3856799844,4648832184,5263877520,5976408044,5656473652,5398568544,5677003239,6303391144,7631120533,8542070110,9176889070,10450843291,12556195189,11914471497,11104648673,14381552433,16350804543,16974320551,17716084108,15950969019,11936999283,13219084261,14845870051,
Myanmar,,,,,,,,,,,8905066164,6477790688,6777632512,10467109978,10567354056,11986972419,14502553710,20182477481,31862554102,36906181381,49540813342,59977326086,59937797559,60269734045,65446199788,67822772707,67184236747,68945867478,76168043982,
Namibia,2785764518,2992650454,3424733520,3218475900,3636645995,3942478206,3945340776,4102648720,3826527631,3818954448,3833993703,3476452446,3275669889,4811994025,6480441754,7101514450,7840138006,8729714008,8496492492,8825055228,11268186636,12343501808,13041886316,12011207741,12356482989,11272143473,10665634688,12741746524,13454211344,
Nauru,,,,,,,,,,,,,,,,,,,,,47564520,66055408,96927201,98491844,104654365,86779266,100087349,109585942,124021394,
Nepal,3627562403,3921476085,3401211581,3660041667,4066775510,4401104418,4521580381,4918691917,4856255044,5033642384,5494252208,6007055042,6050875807,6330473097,7273938315,8130258041,9043715356,10325618017,12545438605,12854985464,16002656434,18913574371,18851513891,19271168018,20002968838,21410840909,21185922408,25180583770,29173513476,
Netherlands,3.18331E+11,3.275E+11,3.62963E+11,3.5355E+11,3.7913E+11,4.52302E+11,4.5049E+11,4.16813E+11,4.38008E+11,4.46899E+11,4.16443E+11,4.31213E+11,4.71614E+11,5.78792E+11,6.57172E+11,6.85093E+11,7.33341E+11,8.47482E+11,9.47998E+11,8.68077E+11,8.46555E+11,9.04086E+11,8.38971E+11,8.76924E+11,8.90981E+11,7.65265E+11,7.83528E+11,8.3387E+11,9.14043E+11,
New Zealand,45495129385,42745329732,41649829860,46775620817,55314732279,63918703507,70140835299,66075143415,56227169851,58762260626,52623281957,53872425917,66627729311,88250885550,1.03905E+11,1.1472E+11,1.11609E+11,1.3732E+11,1.3329E+11,1.21358E+11,1.46619E+11,1.6851E+11,1.76248E+11,1.90846E+11,2.00922E+11,1.77468E+11,1.88224E+11,2.05416E+11,2.07921E+11,
Nicaragua,1009455484,1488804124,1792800000,1756454248,3863185119,4140470000,4308351903,4389965591,4635267225,4855717875,5107329007,5323146566,5224213018,5322454926,5795568205,6321335612,6763361733,7423367753,8496946608,8298729074,8758639096,9774262742,10532049077,10982938826,11880434071,12756706583,13286083645,13785909906,13063904770,
Niger,3512356353,3285796980,3386232592,2208546463,1938058161,2302537682,2405687081,2290318800,2643363407,2536859320,2236185390,2448714681,2782192987,3394084885,3760443966,4383315657,4756361480,5731485267,7297600897,7352131669,7851191899,8772951262,9426913349,10224897935,10862944204,9685577941,10355006770,11189541083,12846952857,
Nigeria,54035795388,49118433048,47794925815,27752204320,33833042988,44062465800,51075815093,54457835193,54604050168,59372613486,69448756933,74030364472,95385819321,1.04912E+11,1.36386E+11,1.76134E+11,2.36104E+11,2.75626E+11,3.37036E+11,2.9188E+11,3.61457E+11,4.04994E+11,4.55502E+11,5.08693E+11,5.46676E+11,4.86803E+11,4.0465E+11,3.75746E+11,3.9719E+11,
Norway,1.19792E+11,1.21872E+11,1.30838E+11,1.20579E+11,1.27131E+11,1.5203E+11,1.6352E+11,1.61357E+11,1.54163E+11,1.62284E+11,1.71247E+11,1.73972E+11,1.95524E+11,2.28859E+11,2.64512E+11,3.08884E+11,3.45581E+11,4.00937E+11,4.6225E+11,3.8619E+11,4.28757E+11,4.98283E+11,5.09506E+11,5.22762E+11,4.9841E+11,3.85802E+11,3.6882E+11,3.98394E+11,4.34167E+11,
Oman,11685045514,11341482445,12452275683,12493107932,12918855657,13802600780,15277763329,15837451235,13996914596,15593456122,19507452508,19452000476,20142756175,21633708220,24763713001,31081991725,37215779656,42085379489,60905452458,48388363516,56913065779,67872692582,76511059936,78555637365,80686854743,68399663322,65480507171,70598026283,79788768969,
Pakistan,40010423970,45625234698,48884606848,51809949334,52293456906,60636022423,63320122807,62433300338,62191955814,62973855719,82017743416,79484403985,79904985385,91760542940,1.0776E+11,1.20055E+11,1.37264E+11,1.52386E+11,1.70078E+11,1.68153E+11,1.77166E+11,2.13587E+11,2.24384E+11,2.31219E+11,2.44361E+11,2.70556E+11,2.78655E+11,3.04567E+11,3.14568E+11,
Palau,,,,,,,,,,,146297500,156907900,163184900,153963200,165186200,190452900,192382400,198897700,198283900,187522800,185943000,196911100,212397800,221117200,241669800,280457700,295065400,286106800,280435700,
Panama,6433967000,7074675500,8042337700,8782585400,9365289800,9573813700,9870494000,10677286100,11575486400,12130252200,12304115000,12502013400,12994310400,13693981200,15013381700,16374393900,18141666300,21295984200,25155888600,27116635600,29440300000,34686200000,40429700000,45600000000,49921500000,54091700000,57907700000,62219000000,65128200000,
Papua New Guinea,3219730365,3787394958,4377980510,4974550286,5502786070,4636057476,5155311077,4936615299,3789443015,3477038204,3521339699,3081024212,2999511040,3536411824,3927157867,4865892972,8355006711,9545177005,11670840924,11619637816,14250755222,17984910496,21295659249,21261432775,23210682537,21723531182,20759069105,22742613549,24109509856,
Paraguay,5812114523,6984367763,7157424031,7249533620,7870982005,9062131475,9788391781,9965225678,9260481572,8837070236,8855705140,8495806432,7196260657,7691367471,9624440836,10737500188,13429430050,17856270473,24578067861,22341754514,27215968616,33715524704,33283228891,38585317743,40276532541,36164068797,36054281572,39008900332,40384691791,
Peru,26410386669,34341465998,35966302303,34832077221,44882079767,53312793687,55252414130,58147522523,55501467877,50187324568,51744749133,52030158775,54777553515,58731030122,66768703498,76060606061,88643193062,1.02171E+11,1.20551E+11,1.20823E+11,1.47529E+11,1.71762E+11,1.92649E+11,2.01175E+11,2.00789E+11,1.89805E+11,1.91896E+11,2.11007E+11,2.22045E+11,
Philippines,44311593756,45417561302,52976344929,54368083953,64084460124,74119987245,82848140618,82344260571,72207028768,82995145793,83670261708,78921071499,84307369867,87039145965,95001994600,1.0742E+11,1.27653E+11,1.5598E+11,1.81007E+11,1.76132E+11,2.08369E+11,2.34217E+11,2.61921E+11,2.83903E+11,2.97484E+11,3.06446E+11,3.18627E+11,3.28481E+11,3.46842E+11,
Poland,65977749037,85500935935,94337050693,96045645026,1.10803E+11,1.42293E+11,1.60193E+11,1.59358E+11,1.74686E+11,1.70031E+11,1.72219E+11,1.90905E+11,1.99072E+11,2.17827E+11,2.5511E+11,3.06144E+11,3.44622E+11,4.29029E+11,5.33609E+11,4.39738E+11,4.79834E+11,5.28301E+11,4.98524E+11,5.21016E+11,5.42477E+11,4.77812E+11,4.7263E+11,5.26509E+11,5.87412E+11,
Portugal,78713860217,89233599278,1.07592E+11,95009751901,99688641304,1.18122E+11,1.2263E+11,1.17017E+11,1.23946E+11,1.27427E+11,1.18311E+11,1.21499E+11,1.34156E+11,1.64862E+11,1.89035E+11,1.9718E+11,2.08582E+11,2.40191E+11,2.62345E+11,2.43702E+11,2.37881E+11,2.44797E+11,2.16237E+11,2.2637E+11,2.29596E+11,1.99314E+11,2.06286E+11,2.21358E+11,2.42313E+11,
Qatar,7360439423,6883516484,7646153984,7156593654,7374450769,8137911978,9059340385,11297802115,10255495027,12393131868,17759890110,17538461538,19363736264,23533791209,31734065934,44530494505,60882142857,79712087912,1.1527E+11,97798351648,1.25122E+11,1.67775E+11,1.86834E+11,1.98728E+11,2.06225E+11,1.6174E+11,1.51732E+11,1.61099E+11,1.83335E+11,
Romania,38995454545,28998684211,25121666667,26362894737,30074440483,37435317265,36937074278,35574916295,41694118973,35952781582,37253259017,40394824679,46066101951,57806506024,74972669057,98452791983,1.22023E+11,1.74585E+11,2.14314E+11,1.74104E+11,1.66309E+11,1.83327E+11,1.70636E+11,1.90801E+11,1.99959E+11,1.77729E+11,1.88129E+11,2.11695E+11,2.41457E+11,
Russia,5.16814E+11,5.17963E+11,4.60291E+11,4.35084E+11,3.95077E+11,3.95537E+11,3.91725E+11,4.04929E+11,2.70955E+11,1.95907E+11,2.5971E+11,3.06602E+11,3.4547E+11,4.30348E+11,5.91017E+11,7.64017E+11,9.89931E+11,1.29971E+12,1.66085E+12,1.22264E+12,1.52492E+12,2.04593E+12,2.2083E+12,2.29247E+12,2.05924E+12,1.36348E+12,1.27679E+12,1.5742E+12,1.66958E+12,
Rwanda,2550185618,1911600970,2029026704,1971525999,753636370,1293535011,1382334879,1851558302,1989343495,2157288438,2068929592,1966668014,1965903268,2138244785,2376384754,2933282015,3319198500,4069636442,5179108956,5673410334,6124120673,6884889636,7655138385,7819538349,8246166341,8545441361,8697268916,9253098954,9635951160,
Samoa,125766270,125597205,132303041,133122897,221098107,224865731,249908971,285475592,269481523,258833767,269019710,273088357,288078881,338838639,420320176,465568018,505832440,570469197,619260722,584706020,663161518,737401692,760549587,770021664,756919917,788307331,799376440,832153613,821496065,
Sao Tome and Principe,,,,,,,,,,,,75951211,85171308,102085583,114582562,136450275,142775597,149146423,188021191,187820465,196652166,231488665,250680453,300553785,346527950,316065370,345495358,375614556,412261830,
Saudi Arabia,1.1763E+11,1.32223E+11,1.37088E+11,1.32968E+11,1.35175E+11,1.43343E+11,1.58662E+11,1.65964E+11,1.46775E+11,1.61717E+11,1.89515E+11,1.84137E+11,1.89606E+11,2.15808E+11,2.58742E+11,3.2846E+11,3.769E+11,4.15965E+11,5.19797E+11,4.29098E+11,5.28207E+11,6.71239E+11,7.35975E+11,7.46647E+11,7.5635E+11,6.5427E+11,6.44936E+11,6.88586E+11,7.86522E+11,
Senegal,7237100724,7111252866,7602005274,7189226453,4908415369,6176312552,6413189839,5915250258,6368265194,6512207622,5924239701,6174898370,6752510283,8683229268,10167441854,11022821632,11847848225,14285970085,16949789465,16248212852,16230887978,17902207622,17824398469,18965572150,19797254643,17774766636,19040312815,20996564752,23236007428,
Serbia,,,,,,16832598870,21818007449,25676488000,19457979423,19388663551,6875845987,12960538724,17120906918,22482365322,26141968161,27683225959,32482070360,43170990616,52194221469,45162894381,41819468692,49258136129,43309252921,48394239475,47062206678,39655958843,40692643373,44179055280,50640650221,
Seychelles,368584759,374359556,433667194,473916819,486451205,508221508,503068472,562958837,608369282,622985494,614879765,622262057,697518248,705704816,839319927,919103255,1016418229,1033561654,967199594,847397850,969936525,1065826670,1060226126,1328157609,1343007845,1377495054,1426651769,1524486800,1586009000,
Sierra Leone,649644827,779981459,679997998,768812335,911915971,870758739,941742153,850218034,672375927,669384769,635874002,1090467712,1253340520,1385810072,1448536631,1650494367,1885112202,2158496873,2505458705,2453899847,2578026297,2942546781,3801862611,4920343195,5015157816,4218723875,3674794530,3739577973,4085114794,
Singapore,36144336769,45466164978,52130263966,60603478153,73690847191,87810991957,96295886525,1.00124E+11,85728310229,86284660767,96074477958,89794943350,92537752709,97645448284,1.15035E+11,1.27808E+11,1.4863E+11,1.80942E+11,1.93612E+11,1.94152E+11,2.39809E+11,2.79351E+11,2.95087E+11,3.07576E+11,3.14851E+11,3.08004E+11,3.18652E+11,3.41863E+11,3.73217E+11,
Slovakia,12747380650,14272201755,15495514297,16520676974,20162936291,25840146405,27925036755,27706028096,29856000671,30453383763,29169953013,30752150336,35130340674,46816589165,57332015148,62785305310,70708098106,86454081577,1.0047E+11,89046289247,90310718349,99122802874,94534730681,98848641555,1.0119E+11,88467555244,89655253976,95494424979,1.05702E+11,
Slovenia,18198199153,13263686957,13101055425,13258920635,15049620465,21352224019,21507232649,20763101741,22146231968,22711384311,20289627637,20876309970,23489890274,29634713641,34414784504,36206395971,39481045038,48006372844,55552509155,50368056405,48161250405,51516366655,46580457470,48401896808,49930685013,43090173395,44736333522,48586603448,54161636035,
Solomon Islands,208003796,220274053,260578532,291118989,390107553,458322323,505832212,529204445,458717501,495442426,429169369,424403183,356507824,352522682,397611127,476898764,538668769,620230005,699157191,735940410,846797694,1049952233,1190994127,1284698922,1335538893,1307061544,1378551118,1483758907,1593964162,
South Africa,1.15552E+11,1.23943E+11,1.34545E+11,1.34308E+11,1.39753E+11,1.55461E+11,1.47606E+11,1.52587E+11,1.37775E+11,1.36632E+11,1.36361E+11,1.21515E+11,1.15482E+11,1.75257E+11,2.2859E+11,2.57773E+11,2.71638E+11,2.99416E+11,2.8677E+11,2.95936E+11,3.75349E+11,4.16419E+11,3.96333E+11,3.66829E+11,3.50905E+11,3.17621E+11,2.96357E+11,3.49554E+11,3.68289E+11,
South Korea,2.83368E+11,3.30649E+11,3.55525E+11,3.92666E+11,4.63617E+11,5.66583E+11,6.1017E+11,5.69755E+11,3.83331E+11,4.97513E+11,5.76178E+11,5.47658E+11,6.27246E+11,7.02717E+11,7.93175E+11,9.34901E+11,1.05322E+12,1.17261E+12,1.04734E+12,9.43942E+11,1.14407E+12,1.25322E+12,1.27843E+12,1.3708E+12,1.48432E+12,1.46577E+12,1.50011E+12,1.6239E+12,1.72485E+12,1.65E+12
Spain,5.36559E+11,5.77166E+11,6.30916E+11,5.25076E+11,5.30563E+11,6.14609E+11,6.42589E+11,5.90077E+11,6.19215E+11,6.34693E+11,5.96878E+11,6.27287E+11,7.05394E+11,9.05492E+11,1.06709E+12,1.15329E+12,1.25934E+12,1.47213E+12,1.62522E+12,1.48558E+12,1.42072E+12,1.47877E+12,1.32482E+12,1.35476E+12,1.3694E+12,1.19512E+12,1.23208E+12,1.31254E+12,1.42215E+12,
Sri Lanka,8032551173,9000362582,9703011636,10338679636,11717604209,13029697561,13897738375,15091913884,15794972847,15656327860,16330814180,15749753805,16536535647,18881765437,20662525941,24405791045,28279814925,32350248411,40713812310,42066217872,56725749222,65292753005,68434409315,74317806538,79356449841,80604080689,82401038710,87428125558,88425889592,
Sudan,12408647541,11379222222,7034219713,8881785938,12794192334,13829744879,9018243044,11681494637,11250327988,10682045258,12257418326,13182979784,14803189093,17646503525,21457470203,26524538566,35822408612,45898948564,54526580232,49957202646,58167563413,57060450038,52766746152,57730380600,64941713057,74294508240,51772232495,45021077955,33128480499,
Suriname,388400000,448100000,404600000,428764706,605492537,691590498,861411471,926422500,1110850000,886290698,947671970,834279358,1093574468,1274190311,1484092538,1793388732,2626380435,2936612022,3532969035,3875409836,4368398048,4422276622,4980000000,5145757576,5240606061,4787367928,3128953537,3216207914,3464656616,
Sweden,2.61846E+11,2.74229E+11,2.84321E+11,2.12953E+11,2.29034E+11,2.67306E+11,2.91744E+11,2.68146E+11,2.70809E+11,2.74072E+11,2.62835E+11,2.42396E+11,2.66849E+11,3.34337E+11,3.85118E+11,3.92218E+11,4.23093E+11,4.91253E+11,5.17706E+11,4.36537E+11,4.95813E+11,5.74094E+11,5.52484E+11,5.86842E+11,5.81964E+11,5.05104E+11,5.15655E+11,5.41019E+11,5.55455E+11,
Switzerland,2.58067E+11,2.61114E+11,2.71814E+11,2.64353E+11,2.92647E+11,3.42617E+11,3.30092E+11,2.86519E+11,2.95045E+11,2.89912E+11,2.72055E+11,2.78631E+11,3.01417E+11,3.52915E+11,3.94164E+11,4.08689E+11,4.30921E+11,4.79913E+11,5.54363E+11,5.41507E+11,5.83783E+11,6.9958E+11,6.68044E+11,6.88504E+11,7.09183E+11,6.79832E+11,6.71309E+11,6.7995E+11,7.05141E+11,
Syria,12308624284,12981833333,13253565899,13695962019,10122020000,11396706587,13789560878,14505233969,15200846138,15873875969,19325894913,21099833784,21582248882,21828144686,25086930693,28858965517,33332844575,40405006007,,,,,,,,,,,,
Tajikistan,2629395066,2534720480,1909246641,1646693642,1522018436,1231567145,1043654822,921572115,1320242081,1086605267,860521119,1080768907,1221120799,1555301496,2076182461,2312327536,2830220713,3719506173,5161337336,4979481980,5642178580,6522732203,7633049792,8448469838,9112544556,7854602392,6952678127,7157865188,7522947810,
Tanzania,4258743263,4956588279,4601413264,4257702197,4510846968,5255221425,6496195451,7683852497,12270448700,12711213451,13375976354,13581644246,14142035080,15224257698,16675948415,18399046025,18649590248,21843529025,27941177435,29081425282,32014249841,34657139495,39650530214,45680532614,49964788814,47378599025,49774021003,53320625959,58001200572,
Thailand,85343063966,98234695722,1.11453E+11,1.28889E+11,1.46683E+11,1.69279E+11,1.83035E+11,1.50181E+11,1.13676E+11,1.26669E+11,1.26392E+11,1.20296E+11,1.34301E+11,1.52281E+11,1.72896E+11,1.89319E+11,2.21758E+11,2.62942E+11,2.91383E+11,2.8171E+11,3.41105E+11,3.70819E+11,3.97558E+11,4.20333E+11,4.07339E+11,4.01296E+11,4.1343E+11,4.56295E+11,5.06514E+11,
Timor-Leste,,,,,,,,,,,367087900,477457500,469461100,490400300,440732900,462261800,453796000,542795300,648492700,726881600,881826900,1054725400,1147779600,1395524600,1447311400,1594410800,1650608600,1599338100,1559894900,
Togo,1628427515,1602299863,1692959110,1233496846,982624325,1309382885,1465448290,1498950899,1587345951,1576094566,1488185772,1481141850,1698678686,2111093198,2255942249,2280575830,2349495621,2659095101,3310277927,3365711796,3429461495,3872459250,3873308389,4321655656,4574986537,4180866177,4486979198,4819949975,5364369026,
Tonga,113563822,132201141,137066291,138489884,195990967,208871688,222100546,214991478,191504900,199214621,204849595,181116944,182763673,202246980,230657957,261797595,292232127,298513956,344428609,312377379,366840012,414523388,470714083,450643615,439878828,437006227,420540179,460379145,489235527,
Trinidad and Tobago,5068000000,5307905882,5439552941,4669488516,4947205860,5329214163,5759537726,5737751332,6043694330,6808982521,8154338233,8824873259,9008273721,11305459802,13280275123,15982282462,18369361094,21641620050,27871587350,19172165226,22157948396,25433011405,25763220107,27268478565,27615843098,25062893969,22284780327,22474828527,23808146748,
Tunisia,12290568182,13074782609,15497286296,14608946896,15632463424,18030876599,19587322786,20746360430,21803372267,22943685719,21473188882,22066101341,23142294436,27453084983,31183139301,32273007554,34378437265,38908069299,44856586316,43454935940,44050929160,45810626509,45044112939,46251061734,47632326088,43173480832,41801210428,39802430355,39770297329,
Turkey,1.50676E+11,1.50028E+11,1.58459E+11,1.8017E+11,1.3069E+11,1.69486E+11,1.81476E+11,1.89835E+11,2.75967E+11,2.56386E+11,2.74303E+11,2.01753E+11,2.40249E+11,3.14595E+11,4.08865E+11,5.06315E+11,5.57076E+11,6.81321E+11,7.70449E+11,6.49289E+11,7.76968E+11,8.38786E+11,8.80556E+11,9.57799E+11,9.38934E+11,8.64314E+11,8.69683E+11,8.58989E+11,7.78382E+11,
Turkmenistan,3189539641,3208098919,3200539816,3179225949,2561118608,2482228440,2378759975,2450349634,2605688065,2450564468,2904662605,3534803922,4461978499,5977560877,6838351088,8103901996,10276674365,12664165103,19271523179,20214385965,22583157895,29233333333,35164210526,39197543860,43524210526,35799714286,36180000000,37926285714,40761142857,
Tuvalu,8824448,9365166,9742949,9630763,10886826,11025945,12334846,12700905,12757633,13687141,13742057,13196545,15450994,18231079,21534932,21839099,22902861,27030374,30290220,27101076,31823519,38711810,37671775,37509075,37290608,35492074,36547800,40619252,42588165,
Uganda,4304398866,3321729057,2857457860,3220439044,3990430447,5755818947,6044585327,6269333313,6584815847,5998563258,6193246837,5840503869,6178563591,6606884391,7939487474,9239221859,9977647645,11902564401,14440404021,25019909335,26558906014,27752712167,27188666947,28791625559,32472363452,32248116584,29078719934,30756466548,32916147253,
Ukraine,81456918679,77464561150,73942235330,65648559903,52549555149,48213868178,44558077827,50150399792,41883241472,31580639045,31261527363,37972301335,42351593887,50084197498,64819702952,86057915585,1.07648E+11,1.4258E+11,1.79817E+11,1.17113E+11,1.36013E+11,1.6316E+11,1.75781E+11,1.8331E+11,1.33503E+11,91030959455,93355993629,1.1219E+11,1.30902E+11,
United Arab Emirates,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.89787E+11,3.50666E+11,3.74591E+11,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.85606E+11,4.22215E+11,
